SYMBOL, SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHYAMMETL, EQ, 20-Jul-2021,430.2,435.5,461.15,425.1,441.5,442.3,444.72,10403297,46265.48,165199,2572891,24.73
SICAGEN, EQ, 20-Jul-2021,24.7,25.5,25.8,24,24.6,24.35,24.34,30594,7.45,142,24680,80.67
SICAL, EQ, 20-Jul-2021,14.9,15.55,15.6,14.95,15.6,15.6,15.5,1581889,245.27,2981,1196003,75.61
SIEMENS, EQ, 20-Jul-2021,1973.35,1973.35,1978.7,1924,1939.1,1944.35,1948.15,247707,4825.71,17829,87142,35.18
SIGIND, EQ, 20-Jul-2021,51.5,52.45,52.45,48.1,49.7,49.65,49.62,98249,48.75,1345,49583,50.47
SIGMA, SM, 20-Jul-2021,181.65,190.7,190.7,190.7,190.7,190.7,190.7,3000,5.72,1,3000,100
SIL, BE, 20-Jul-2021,17.15,17,17,16.7,17,17,16.82,28916,4.86,51, -, -
SILGO, EQ, 20-Jul-2021,42.65,43.3,43.3,41.75,42.3,42,42.38,24308,10.3,379,17742,72.99
SILINV, BE, 20-Jul-2021,340.7,336,340,328.5,332,332.25,333.98,11427,38.16,66, -, -
SILLYMONKS, EQ, 20-Jul-2021,20.85,21.85,21.85,21.05,21.2,21.15,21.28,2455,0.52,14,2445,99.59
SILVERTUC, SM, 20-Jul-2021,90,93,95,92.9,95,95,93.59,10000,9.36,9,10000,100
SIMBHALS, BE, 20-Jul-2021,38.45,39,39.75,36.55,39.25,37.75,38.08,71219,27.12,406, -, -
SIMPLEXINF, EQ, 20-Jul-2021,51.45,51,51.95,48.9,49.1,49.75,49.74,316347,157.35,1489,185763,58.72
SINTERCOM, EQ, 20-Jul-2021,78.45,79.95,80,76,76,76.75,77.63,15127,11.74,159,10710,70.8
SINTEX, EQ, 20-Jul-2021,4.7,4.65,4.9,4.55,4.75,4.75,4.72,3374510,159.2,2705,2135797,63.29
SIRCA, EQ, 20-Jul-2021,348.75,357.4,359,314,346.7,348.5,349.55,132352,462.63,5097,44335,33.5
SIS, EQ, 20-Jul-2021,504.2,501.1,505.05,477.1,483.6,482.25,489.08,304615,1489.81,13015,132079,43.36
SITINET, EQ, 20-Jul-2021,1.55,1.6,1.6,1.55,1.6,1.6,1.58,6164383,97.61,2023,4895477,79.42
SIYSIL, EQ, 20-Jul-2021,417.6,416.8,416.8,388.5,405,406.9,403.42,107924,435.38,5188,48656,45.08
SJVN, EQ, 20-Jul-2021,27.7,27.75,27.95,27.2,27.4,27.4,27.4,2378583,651.78,6754,1523553,64.05
SKFINDIA, EQ, 20-Jul-2021,2560.25,2573.1,2585.85,2502.3,2542.25,2535.3,2530.17,28079,710.45,4856,19485,69.39
SKIL, EQ, 20-Jul-2021,3.5,3.45,3.6,3.35,3.35,3.35,3.39,222972,7.56,190,166360,74.61
SKIPPER, EQ, 20-Jul-2021,92.35,92.5,93.15,87.15,89,88.85,89.64,854765,766.24,9313,351985,41.18
SKMEGGPROD, EQ, 20-Jul-2021,89.6,89.6,90.6,86.7,87.9,87.9,88.23,120692,106.49,2491,66564,55.15
SKSTEXTILE, SM, 20-Jul-2021,20.55,20.55,20.55,20.55,20.55,20.55,20.55,1000,0.21,1,1000,100
SMARTLINK, EQ, 20-Jul-2021,124.95,125.8,126.05,116.25,117.15,117.55,119.58,105576,126.24,4409,52426,49.66
SMCGLOBAL, EQ, 20-Jul-2021,101.35,102,103.95,96,98.8,99,99.51,1947923,1938.29,11972,788419,40.47
SMLISUZU, EQ, 20-Jul-2021,590.2,593,596.25,565.9,572,572.65,579.21,71431,413.73,4022,31304,43.82
SMSLIFE, EQ, 20-Jul-2021,730.95,732,745.75,716.9,721.05,725.65,728.87,7719,56.26,791,4395,56.94
SMSPHARMA, EQ, 20-Jul-2021,189.8,192.8,196.1,184.55,188,187.65,191.53,744871,1426.67,16085,304256,40.85
SNOWMAN, EQ, 20-Jul-2021,51.85,51.8,52.45,50.7,50.9,50.95,51.49,1388591,715.05,7464,623453,44.9
